massimo_titolo_studio,mp_count,mp_percentage,pop_percentage,representation_index
Licenza Media,4,0.0066555740432612314,0.345,0.019291518965974586
Diploma,135,0.22462562396006655,0.439,0.5116756810024295
Laurea,464,0.7720465890183028,0.216,3.574289763973624
