gender,mp_count,mp_percentage,pop_count,pop_percentage,representation_index
M,399,0.6595041322314049,28876799,0.48998391883880893,1.3459709734848735
F,206,0.34049586776859503,30057378,0.510016081161191,0.6676179052891099
